Date,Order,Slug,Origin,Producer,Guest number,Guest info
140920,4,NFL FRIDAY NIGHT,D,"W,M",5,"['W,M', 'W,F', 'B,F', 'B,M', 'W,M']"
140920,5,MUSIC JENNIFER HUDSON,S,"W,F",1,"['B,F']"
140920,6,DATA BOOT CAMP,S,"B,F",1,"['W,F']"
140920,7,BOOK MY PASSAGES,S,"B,F",1,"['W,F']"
140920,8,TV MEN IN BLAZERS,S,"W,F",2,"['W,M', 'W,M']"
140914,0,ISIS SUPERSPOT,D,"W,F",3,"['W,M', 'W,M', 'A,M']"
140914,1,MEDIA BEHEADING VIDEOS,S,"W,M",1,"['W,F']"
140914,2,UKRAINE CEASEFIRE DISSOLVES,D,"W,F",5,"['O,F', 'O,F', 'O,M', 'O,F', 'O,F']"
140914,3,CLINTONS IN IOWA,S,"W,M",2,"['W,F', 'W,M']"
140914,4,NFL BRAIN INJURIES,S,"A,F",1,"['W,M']"
140914,5,GERMANY ANTI ANTI SEMITISM,D,"M,F",5,"['W,F', 'W,M', 'W,M', 'O,M', 'O,F']"
140914,6,MBB SERGIO MENDES,S,"W,M",1,"['L,M']"
140914,7,TV TIM AND ERIC,S,"W,M",2,"['W,M', 'W,M']"
140914,8,MUST READ LOW CARB DIETS,D,"W,F",1,"['W,F']"
140914,9,BOOK PERFIDIA,S,"W,F",1,"['W,M']"
140913,0,US IRAQ IRAN,S,"W,M",1,"['W,F']"
140913,1,IS OR ISIS OR ISIL,S,"W,M",3,"['B,M', 'M,F', 'W,M']"
140913,2,MESSY WORLD,S,"W,F",1,"['W,M']"
140913,3,TMZ AND RAY RICE,S,"W,M",1,"['W,F']"
140913,4,BLUE WHALES,S,"B,F",1,"['W,M']"
140913,5,OZY PED,S,"B,F",1,"['B,M']"
140913,6,TODDLER UNBOXING,S,"A,F",1,"['O,F']"
140913,7,BOOK STONE MATTRESS,S,"W,F",1,"['W,F']"
140913,8,MUSIC JASON MORAN,S,"W,M",1,"['B,M']"
140913,9,JOE SAMPLE OBIT,S,"W,M",1,"['B,M']"
140907,0,EBOLA RESOURCES,S,"W,F",1,"['A,F']"
140907,1,EBOLA VOLUNTEERS,D,"W,M",2,"['W,F', 'B,M']"
140907,2,BORDER PATROL UPDATE,D,"W,F",3,"['L,M', 'L,M', 'L,M']"
140907,3,ISIS FUNDING,S,"W,M",2,"['B,M', 'W,F']"
140907,4,FUKUSHIMA ANNIVERSARY,S,"W,M",1,"['W,F']"
140907,5,SCUBA VETS,S,"W,F",2,"['W,M', 'W,F']"
140907,6,MBB DOLPH LUNDGREN,S,"W,M",1,"['W,M']"
140907,7,CHESS FEAT IN ST LOUIS,S,"W,F",1,"['W,M']"
140907,8,BOOK THE MOOR'S ACCOUNT,S,"W,F",1,"['M,F']"
140907,9,MUSIC RYAN ADAMS,S,"W,M",1,"['W,M']"
140906,0,NATO SUMMIT,S,"W,F",1,"['W,M']"
140906,1,ISIS AIRSTRIKES,S,"W,M",1,"['W,M']"
140906,2,SPORTS CHAT,S,"W,M",2,"['L,M', 'W,M']"
140906,3,NORTH KOREA REPORTING TRIP,S,"W,M",1,"['W,F']"
140906,4,OZY,S,"B,F",1,"['O,F']"
140906,5,MUSIC SHEILA E,S,"W,M",1,"['L,F']"
140906,6,BOOK DATACLYSM,S,"W,F",1,"['W,M']"
140906,7,REJECTED PRINCESSES,S,"A,F",1,"['W,M']"
140906,8,DOC ENEMY OF THE REICH,S,"B,F",1,"['W,M']"
140830,0,UKRAINE UPDATE,D,"M,F",3,"['W,M', 'W,M', 'O,F']"
140830,1,RUSSIA SANCTIONS,S,"W,M",2,"['W,M', 'W,M']"
140830,2,UK EMIGRANTS TO ISIS,S,"W,M",2,"['W,M', 'W,F']"
140830,3,HOMELESS,D,"W,F",3,"['W,F', 'W,M', 'O,F']"
140830,4,OZY,S,"B,F",1,"['A,F']"
140830,5,WILDLIFE DOCUMENTARIES,S,"W,F",2,"['W,M', 'W,M']"
140830,6,GO PRO FOR DOGS,S,"W,M",1,"['W,M']"
140830,7,BLACK ATHLETES ON FERGUSON,S,"B,F",1,"['B,M']"
140830,8,BOOK HISTORY OF ROCK AND ROLL,S,"W,F",1,"['W,M']"
140831,0,ISIS DEFEATED IN AMERLI,D,"W,M",0,[]
140831,1,KURDS AND PTSD,S,"W,M",1,"['W,F']"
140831,2,LADY AL QAEDA,S,"W,F",1,"['W,M']"
140831,3,GUANTANAMO LAWYER RESIGNS,S,"W,M",1,"['W,M']"
140831,4,TRICORDER COMPETITION,S,"B,F",1,"['O,M']"
140831,5,MBB AUCTIONEER,S,"W,M",1,"['W,M']"
140831,6,BOOK ISLAND OF A THOUSAND MIRRORS,S,"W,F",1,"['A,F']"
140831,7,BOSTON ACCENTS,D,"W,F",3,"['W,M', 'W,F', 'O,M']"
140831,8,MUSIC TY SEGALL,S,"W,F",1,"['W,M']"
140823,0,EBOLA PHOTOGRAPHER,S,"W,M",1,"['W,M']"
140823,1,FERGUSON GENERATION GAP,D,"W,M",4,"['B,M', 'B,M', 'B,M', 'B,M']"
140823,2,BLACK AUTISM POLICE TRAINING,S,"W,F",7,"['B,F', 'B,F', 'B,M', 'W,M', 'W,F', 'A,M', 'B,M']"
140823,3,OZY,S,"B,F",1,"['O,F']"
140823,4,ALONE IN THE WILDERNESS,S,"W,M",1,"['W,M']"
140823,5,TARGETING JOURNOS IN SYRIA,S,"W,M",1,"['W,M']"
140823,6,POPE ON MILITARY INTERVENTION,S,"W,M",1,"['W,M']"
140823,7,BOOK HOW WE LEARN,S,"A,F",1,"['W,M']"
140823,8,LOVE IS STRANGE,D,"W,M",0,[]
140823,9,MUSIC BRUCE HORNSBY,S,"W,M",1,"['W,M']"
140824,0,JOURNALIST FREED,D,"W,M",1,"['W,M']"
140824,1,EBOLA SPREADS,D,"B,F",4,"['B,M', 'B,M', 'B,F', 'B,M']"
140824,2,NAPA EARTHQUAKE,D,"W,M",3,"['W,M', 'L,M', 'W,M']"
140824,3,PART TIME WORKERS,S,"W,F",3,"['B,F', 'B,M', 'W,F']"
140824,4,MADDEN TATTOOS,S,"W,F",3,"['A,M', 'W,M', 'A,M']"
140824,5,LAST NEGRO LEAGUE UMP,S,"W,F",1,"['B,M']"
140824,6,AMISH EXPLOITATION,D,"W,F",2,"['W,F', 'W,M']"
140824,7,REALITY TV EFFECTS,S,"A,F",1,"['W,M']"
140824,8,CIVIL WAR CAMP,D,"W,M",8,"['W,M', 'W,M', 'W,M', 'W,M', 'W,M', 'B,F', 'W,F', 'W,M']"
140824,9,BOOK KINDA LIKE BROTHERS,S,"W,F",1,"['B,F']"
140816,0,MOSUL DAM,S,"W,F",1,"['W,M']"
140816,1,FERGUSON UPDATE,S,"W,F",2,"['W,M', 'B,F']"
140816,2,MCCASKILL ON FERGUSON,S,"W,M",1,"['W,F']"
140816,3,PERRY VETO INDICTMENT,S,"W,F",2,"['W,M', 'W,M']"
140816,4,FERGUSON PHOTOGRAPHER,S,"W,M",1,"['W,M']"
140816,5,EGYPT'S TIANANMEN,S,"W,M",1,"['W,M']"
140816,6,TATE ROBOTS,S,"B,F",2,"['W,M', 'W,M']"
140816,7,OZY,S,"B,F",1,"['O,F']"
140816,8,MONE DAVIS,D,"W,F",4,"['O,M', 'B,M', 'B,F', 'B,M']"
140816,9,MBB AUDI ENGINEER,S,"W,M",1,"['A,F']"
140816,10,MUSIC BENJAMIN BOOKER,S,"W,M",1,"['B,M']"
140817,0,6,D,"A,F",6,"['B,M', 'W,M', 'W,M', 'B,F', 'W,M', 'B,F']"
140817,1,WASH U REPORT,S,"B,F",1,"['B,M']"
140817,2,EASTERN UKRAINE FIGHTING,S,"W,M",1,"['M,F']"
140817,3,LINCOLN YAZIDI COMMUNITY,S,"W,M",1,"['M,M']"
140817,4,NEW ORLEANS COPS,S,"W,F",5,"['B,F', 'W,M', 'W,M', 'W,M', 'B,M']"
140817,5,REVEL CASINO SHUTS DOWN,S,"W,M",2,"['W,M', 'W,M']"
140817,6,GRACELAND TOO,D,"W,M",9,"['W,F', 'W,F', 'W,M', 'O,M', 'W,M', 'O,M', 'W,M', 'W,M', 'O,F']"
140817,7,TV WIZARD WARS,S,"W,M",1,"['W,F']"
140817,8,BOOK WORKING STIFF,S,"W,F",1,"['W,F']"
140817,9,MUSIC WEEN,D,"W,F",3,"['W,M', 'W,M', 'W,M']"
140809,0,US AID TO YAZIDIS,S,"W,M",2,"['B,M', 'W,M']"
140809,1,ISIS BAGHDAD UPDATE,S,"W,F",1,"['M,M']"
140809,2,PRESIDENTS ON IRAQ,S,"W,M",4,"['W,M', 'W,M', 'W,M', 'B,M']"
140809,3,GAZA TUNNELS,D,"W,F",3,"['M,F', 'W,M', 'O,M']"
140809,4,ISRAEL GAZA SANCTIONS,S,"W,F",1,"['L,M']"
140809,5,BASS PUMPS YOU UP,S,"W,F",1,"['W,M']"
140809,6,OZY,S,"B,F",1,"['A,F']"
140809,7,BOOK BUILDING A BETTER TEACHER,S,"A,F",1,"['W,F']"
140809,8,CAGEFREE ZOO,S,"B,F",1,"['W,M']"
140809,9,MUSIC BETTO ARCOS,S,"W,M",1,"['L,M']"
140810,0,LIBYA UPDATE,S,"W,M",1,"['B,M']"
140810,1,EBOLA DOC OBIT,D,"B,F",6,"['B,M', 'B,F', 'B,F', 'B,M', 'B,M', 'B,M']"
140810,2,PHILADELPHIA POLICE CORRUPTION,S,"W,M",2,"['W,M', 'W,M']"
140810,3,ESCAPE CLASS,D,"W,M",5,"['W,M', 'W,M', 'L,F', 'O,M', 'W,M']"
140810,4,HEROIN RECOVERY COACH,D,"W,F",3,"['W,M', 'W,M', 'W,M']"
140810,5,SOUTH KOREAN ROYALS FAN,S,"W,F",2,"['A,M', 'W,M']"
